transit_timestamp,transit_mode,station_complex_id,station_complex,borough,payment_method,fare_class_category,ridership,transfers,latitude,longitude,georeference
2021-06-14T08:00:00.000,subway,610,"Grand Central-42 St (S,4,5,6,7)",Manhattan,metrocard,Metrocard - Unlimited 7-Day,136.0,0.0,40.751778,-73.976845,POINT (-73.976845 40.751778)
2021-06-14T05:00:00.000,subway,618,"14 St (A,C,E)/8 Av (L)",Manhattan,metrocard,Metrocard - Fair Fare,2.0,0.0,40.740894,-74.00169,POINT (-74.00169 40.740894)
2021-06-14T22:00:00.000,subway,155,"Cathedral Pkwy (110 St) (C,B)",Manhattan,metrocard,Metrocard - Full Fare,18.0,0.0,40.800602,-73.95816,POINT (-73.95816 40.800602)
2021-06-14T19:00:00.000,subway,242,"Fort Hamilton Pkwy (F,G)",Brooklyn,metrocard,Metrocard - Full Fare,24.0,0.0,40.650784,-73.97578,POINT (-73.97578 40.650784)
2021-06-14T13:00:00.000,subway,119,1 Av (L),Manhattan,metrocard,Metrocard - Seniors & Disability,24.0,4.0,40.730953,-73.98163,POINT (-73.98163 40.730953)
2021-06-14T09:00:00.000,subway,264,"Woodhaven Blvd (M,R)",Queens,metrocard,Metrocard - Fair Fare,19.0,5.0,40.733105,-73.86923,POINT (-73.86923 40.733105)
2021-06-14T10:00:00.000,subway,126,Jefferson St (L),Brooklyn,omny,OMNY - Full Fare,52.0,1.0,40.706608,-73.92291,POINT (-73.92291 40.706608)
2021-06-14T19:00:00.000,subway,623,"Canal St (J,N,Q,R,W,Z,6)",Manhattan,metrocard,Metrocard - Full Fare,489.0,1.0,40.71953,-73.99989,POINT (-73.99989 40.71953)
2021-06-14T11:00:00.000,subway,235,York St (F),Brooklyn,metrocard,Metrocard - Full Fare,55.0,0.0,40.701397,-73.98675,POINT (-73.98675 40.701397)
2021-06-14T23:00:00.000,subway,399,68 St-Hunter College (6),Manhattan,metrocard,Metrocard - Unlimited 7-Day,33.0,0.0,40.768143,-73.96387,POINT (-73.96387 40.768143)
2021-06-14T12:00:00.000,subway,4,"Broadway (N,W)",Queens,metrocard,Metrocard - Other,6.0,0.0,40.76182,-73.92551,POINT (-73.92551 40.76182)
2021-06-14T16:00:00.000,subway,260,"75 Av (E,F)",Queens,metrocard,Metrocard - Fair Fare,4.0,0.0,40.71833,-73.837326,POINT (-73.837326 40.71833)
2021-06-14T12:00:00.000,subway,48,Avenue H (Q),Brooklyn,metrocard,Metrocard - Unlimited 30-Day,7.0,0.0,40.62927,-73.96164,POINT (-73.96164 40.62927)
2021-06-14T12:00:00.000,subway,4,"Broadway (N,W)",Queens,metrocard,Metrocard - Students,4.0,1.0,40.76182,-73.92551,POINT (-73.92551 40.76182)
2021-06-14T06:00:00.000,subway,394,110 St (6),Manhattan,metrocard,Metrocard - Unlimited 30-Day,34.0,0.0,40.79502,-73.94425,POINT (-73.94425 40.79502)
2021-06-14T17:00:00.000,subway,395,103 St (6),Manhattan,metrocard,Metrocard - Full Fare,253.0,1.0,40.7906,-73.94748,POINT (-73.94748 40.7906)
2021-06-14T13:00:00.000,subway,41,"7 Av (B,Q)",Brooklyn,metrocard,Metrocard - Unlimited 7-Day,31.0,0.0,40.67705,-73.97237,POINT (-73.97237 40.67705)
2021-06-14T21:00:00.000,subway,122,Graham Av (L),Brooklyn,metrocard,Metrocard - Full Fare,34.0,1.0,40.714565,-73.94405,POINT (-73.94405 40.714565)
2021-06-14T01:00:00.000,subway,149,163 St-Amsterdam Av (C),Manhattan,metrocard,Metrocard - Full Fare,1.0,0.0,40.836014,-73.939896,POINT (-73.939896 40.836014)
2021-06-14T21:00:00.000,subway,626,"Franklin Av (2,3,4,5)/Botanic Garden (S)",Brooklyn,metrocard,Metrocard - Seniors & Disability,6.0,0.0,40.67068,-73.95813,POINT (-73.95813 40.67068)
2021-06-14T21:00:00.000,subway,126,Jefferson St (L),Brooklyn,metrocard,Metrocard - Full Fare,28.0,0.0,40.706608,-73.92291,POINT (-73.92291 40.706608)
2021-06-14T14:00:00.000,subway,145,190 St (A),Manhattan,omny,OMNY - Full Fare,11.0,0.0,40.85902,-73.93418,POINT (-73.93418 40.85902)
2021-06-14T07:00:00.000,subway,603,"149 St-Grand Concourse (2,4,5)",Bronx,omny,OMNY - Full Fare,59.0,7.0,40.818375,-73.92735,POINT (-73.92735 40.818375)
2021-06-14T14:00:00.000,subway,147,175 St (A),Manhattan,metrocard,Metrocard - Other,17.0,2.0,40.84739,-73.939705,POINT (-73.939705 40.84739)
2021-06-14T12:00:00.000,subway,152,"135 St (C,B)",Manhattan,omny,OMNY - Full Fare,25.0,0.0,40.817894,-73.94765,POINT (-73.94765 40.817894)
2021-06-14T00:00:00.000,subway,624,"Chambers St (A,C)/WTC (E)/Park Pl (2,3)/Cortlandt (R,W)",Manhattan,metrocard,Metrocard - Fair Fare,1.0,0.0,40.71258,-74.00978,POINT (-74.00978 40.71258)
